Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2016-09-01 00:00:00.000 +0200,Clear,rain,16.34444444,16.34444444,0.6,6.1502,40,16.1,0,1022.16,Partly cloudy starting in the morning continuing until night.
2016-09-01 01:00:00.000 +0200,Clear,rain,15.78888889,15.78888889,0.62,6.1019,69,16.1,0,1022.05,Partly cloudy starting in the morning continuing until night.
2016-09-01 02:00:00.000 +0200,Clear,rain,13.34444444,13.34444444,0.73,3.2522,56,15.1823,0,1021.85,Partly cloudy starting in the morning continuing until night.
2016-09-01 03:00:00.000 +0200,Clear,rain,12.61111111,12.61111111,0.75,3.22,20,16.1,0,1021.84,Partly cloudy starting in the morning continuing until night.
2016-09-01 04:00:00.000 +0200,Clear,rain,12.03888889,12.03888889,0.78,0,0,16.1,0,1021.84,Partly cloudy starting in the morning continuing until night.
2016-09-01 05:00:00.000 +0200,Clear,rain,12.12222222,12.12222222,0.78,6.4239,14,14.9569,0,1021.93,Partly cloudy starting in the morning continuing until night.
2016-09-01 06:00:00.000 +0200,Clear,rain,11.99444444,11.99444444,0.76,1.6905,320,15.8263,0,1021.76,Partly cloudy starting in the morning continuing until night.
2016-09-01 07:00:00.000 +0200,Partly Cloudy,rain,14.66111111,14.66111111,0.74,0,0,16.1,0,1022.04,Partly cloudy starting in the morning continuing until night.
2016-09-01 08:00:00.000 +0200,Partly Cloudy,rain,17.46111111,17.46111111,0.66,8.8067,32,15.5526,0,1021.95,Partly cloudy starting in the morning continuing until night.
2016-09-01 09:00:00.000 +0200,Clear,rain,20.99444444,20.99444444,0.57,4.8944,43,16.1,0,1022.04,Partly cloudy starting in the morning continuing until night.
2016-09-01 10:00:00.000 +0200,Partly Cloudy,rain,23.81666667,23.81666667,0.42,4.3309,33,16.1,0,1022.14,Partly cloudy starting in the morning continuing until night.
2016-09-01 11:00:00.000 +0200,Partly Cloudy,rain,NaN,24.95,0.36,8.5491,68,15.5526,0,1022.14,Partly cloudy starting in the morning continuing until night.
2016-09-01 12:00:00.000 +0200,Partly Cloudy,rain,26.08333333,26.08333333,0.32,7.8085,72,16.1,0,1021.83,Partly cloudy starting in the morning continuing until night.
2016-09-01 13:00:00.000 +0200,Partly Cloudy,rain,27.70555556,26.82222222,0.29,7.7441,29,16.1,0,1021.51,Partly cloudy starting in the morning continuing until night.
2016-09-01 14:00:00.000 +0200,Partly Cloudy,rain,27.66111111,26.75555556,0.28,8.6779,6,15.5526,0,1020.73,Partly cloudy starting in the morning continuing until night.
2016-09-01 15:00:00.000 +0200,Partly Cloudy,rain,27.77777778,26.83888889,0.28,4.6368,67,16.1,0,1020.03,Partly cloudy starting in the morning continuing until night.
2016-09-01 16:00:00.000 +0200,Partly Cloudy,rain,28.79444444,27.54444444,0.27,9.499,359,16.1,0,1019.62,Partly cloudy starting in the morning continuing until night.
2016-09-01 17:00:00.000 +0200,Partly Cloudy,rain,27.71666667,26.80555556,0.28,9.821,2,15.5526,0,1019.24,Partly cloudy starting in the morning continuing until night.
2016-09-01 18:00:00.000 +0200,Partly Cloudy,rain,27.17222222,26.52777778,0.3,8.0983,349,16.1,0,1019.21,Partly cloudy starting in the morning continuing until night.
2016-09-01 19:00:00.000 +0200,Partly Cloudy,rain,23.86111111,23.86111111,0.41,4.83,348,16.1,0,1018.92,Partly cloudy starting in the morning continuing until night.
2016-09-01 20:00:00.000 +0200,Partly Cloudy,rain,20.16111111,20.16111111,0.53,0.483,349,15.5526,0,1019.45,Partly cloudy starting in the morning continuing until night.
2016-09-01 21:00:00.000 +0200,Partly Cloudy,rain,17.70555556,17.70555556,0.66,0,0,16.1,0,1019.94,Partly cloudy starting in the morning continuing until night.
2016-09-01 22:00:00.000 +0200,Partly Cloudy,rain,17.08333333,17.08333333,0.68,6.44,310,16.1,0,1020.24,Partly cloudy starting in the morning continuing until night.
2016-09-01 23:00:00.000 +0200,Partly Cloudy,rain,16.18888889,16.18888889,0.72,4.4597,353,15.5526,0,1020.24,Partly cloudy starting in the morning continuing until night.
2016-09-10 00:00:00.000 +0200,Clear,rain,17.79444444,17.79444444,0.76,6.2468,19,16.0517,0,1016.26,Partly cloudy starting in the morning.
2016-09-10 01:00:00.000 +0200,Clear,rain,17.24444444,17.24444444,0.81,6.1502,20,16.0517,0,1016.16,Partly cloudy starting in the morning.
2016-09-10 02:00:00.000 +0200,Clear,rain,17.30555556,17.30555556,0.8,5.9892,352,15.1501,0,1016.06,Partly cloudy starting in the morning.
